Machine,SizeOfOptionalHeader,Characteristics,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,BaseOfData,ImageBase,SectionAlignment,legitimate
332,224,258,9,0,361984,115712,0,6135,4096,372736,4194304.0,4096,1
332,224,3330,9,0,130560,19968,0,81778,4096,143360,771751936.0,4096,1
332,224,3330,9,0,517120,621568,0,350896,4096,811008,771751936.0,4096,1
332,224,258,9,0,585728,369152,0,451258,4096,798720,771751936.0,4096,1
332,224,258,9,0,294912,247296,0,217381,4096,536576,771751936.0,4096,1
332,224,258,9,0,512,46592,0,4488,4096,8192,4194304.0,4096,1
332,224,290,9,0,222720,67072,0,219331,4096,229376,4194304.0,4096,1
332,224,290,9,0,823808,650240,0,587663,4096,831488,4194304.0,4096,1
332,224,290,9,0,4096,7168,0,6751,4096,8192,4194304.0,4096,1
332,224,290,9,0,29696,12800,0,27055,4096,36864,4194304.0,4096,1
332,224,290,9,0,917504,316928,0,833800,4096,921600,4194304.0,4096,1
332,224,290,9,0,53248,34816,0,53601,4096,57344,4194304.0,4096,1
332,224,258,9,0,206848,102400,0,110150,4096,212992,4194304.0,4096,1
332,224,259,9,0,14848,14336,0,16529,4096,20480,4194304.0,4096,1
332,224,258,9,0,178688,134144,0,78084,4096,184320,4194304.0,4096,1
332,224,258,9,0,413184,518144,0,160191,4096,417792,4194304.0,4096,1
332,224,258,9,0,37376,20992,0,30988,4096,45056,4194304.0,4096,1
332,224,258,9,0,178688,134144,0,78084,4096,184320,4194304.0,4096,1
332,224,258,9,0,32256,91136,0,5926,4096,36864,4194304.0,4096,1
332,224,258,9,0,31744,64512,0,5275,4096,36864,4194304.0,4096,1
332,224,258,9,0,32256,26624,0,5926,4096,36864,4194304.0,4096,1
332,224,258,8,0,34304,54784,0,30939,4096,40960,4194304.0,4096,1
332,224,258,8,0,37376,30720,0,39387,4096,45056,4194304.0,4096,1
332,224,258,8,0,13824,7168,0,6123,4096,20480,4194304.0,4096,1
332,224,258,8,0,82944,95744,0,50929,4096,90112,4194304.0,4096,1
332,224,258,8,0,110592,47104,0,112683,4096,114688,4194304.0,4096,1
332,224,258,8,0,15872,10752,0,18203,4096,20480,4194304.0,4096,1
332,224,258,8,0,98816,49664,0,101291,4096,106496,4194304.0,4096,1
332,224,259,8,0,247808,110592,0,192030,4096,253952,4194304.0,4096,1
332,224,270,4,20,332800,229888,0,314688,4096,339968,4194304.0,4096,1
332,224,258,9,0,132608,12800,0,63060,4096,139264,16777216.0,4096,1
332,224,258,9,0,111616,792064,0,62192,4096,118784,16777216.0,4096,1
332,224,258,9,0,758272,466432,0,122123,4096,765952,16777216.0,4096,1
332,224,258,9,0,3584,2560,0,5224,4096,8192,16777216.0,4096,1
332,224,258,9,0,201216,399872,0,35485,4096,208896,16777216.0,4096,1
332,224,258,9,0,102912,79360,0,78413,4096,110592,16777216.0,4096,1
332,224,258,9,0,165376,178688,0,53624,4096,167936,16777216.0,4096,1
332,224,258,9,0,222208,72192,0,58328,4096,229376,16777216.0,4096,1
332,224,258,9,0,140288,181248,0,105896,4096,147456,16777216.0,4096,1
332,224,258,9,0,102912,10240,0,22706,4096,110592,771751936.0,4096,1
332,224,258,9,0,26624,161792,0,9687,4096,36864,771751936.0,4096,1
332,224,8450,9,0,0,467456,0,0,4096,4096,268435456.0,4096,1
332,224,258,9,0,24064,86016,0,23874,4096,69632,805306368.0,4096,1
332,224,258,9,0,143360,26112,0,58164,4096,151552,771751936.0,4096,1
332,224,258,9,0,157696,353280,0,49624,4096,172032,771751936.0,4096,1
332,224,258,9,0,2826240,1721344,0,2465724,4096,3170304,771751936.0,4096,1
332,224,3330,9,0,517120,621568,0,350896,4096,811008,771751936.0,4096,1
332,224,258,9,0,5120,2560,0,5750,4096,12288,771751936.0,4096,1
332,224,258,8,0,3984896,647168,0,1058372,4096,2584576,16777216.0,4096,1
332,224,258,9,0,4096,4096,0,5500,4096,8192,771751936.0,4096,1
332,224,258,9,0,1080832,136192,0,112014,4096,1093632,771751936.0,4096,1
332,224,290,9,0,68096,12288,0,21174,4096,73728,4194304.0,4096,1
332,224,258,9,0,392192,1580032,0,61732,4096,397312,16777216.0,4096,1
332,224,258,10,0,17408,5120,0,18075,4096,24576,16777216.0,4096,1
332,224,258,10,0,80896,78336,0,28759,4096,86016,16777216.0,4096,1
332,224,258,8,0,217088,86016,0,224990,8192,229376,4194304.0,8192,1
332,224,258,10,0,44544,421888,0,41538,4096,49152,16777216.0,4096,1
332,224,258,10,0,9216,213504,0,9253,4096,16384,16777216.0,4096,1
332,224,258,10,0,26624,713728,0,9936,4096,32768,4194304.0,4096,1
332,224,259,8,0,45056,24576,0,9824,4096,49152,4194304.0,4096,1
332,224,259,8,0,61440,49152,0,57741,4096,65536,4194304.0,4096,1
332,224,259,8,0,270336,98304,0,69235,4096,274432,4194304.0,4096,1
332,224,259,8,0,753664,229376,0,428147,4096,757760,4194304.0,4096,1
332,224,259,8,0,86016,90112,0,76889,4096,90112,4194304.0,4096,1
332,224,259,8,0,77824,73728,0,72921,4096,81920,4194304.0,4096,1
34404,240,35,8,0,74240,32768,0,20576,4096,0,5368709120.0,4096,1
332,224,259,8,0,12288,53248,0,5342,4096,16384,4194304.0,4096,1
332,224,259,8,0,57344,40960,0,53134,4096,61440,4194304.0,4096,1
332,224,259,8,0,45056,57344,0,46456,4096,49152,4194304.0,4096,1
332,224,259,8,0,286720,188416,0,278865,4096,290816,4194304.0,4096,1
332,224,259,8,0,73728,139264,0,74071,4096,77824,4194304.0,4096,1
332,224,259,8,0,26624,32768,0,19676,4096,32768,4194304.0,4096,1
332,224,259,8,0,249856,159744,0,241142,4096,253952,4194304.0,4096,1
332,224,259,8,0,247808,110592,0,192046,4096,253952,4194304.0,4096,1
332,224,258,8,0,86016,59904,0,53717,4096,90112,4194304.0,4096,1
332,224,259,8,0,192512,122880,0,177823,4096,196608,4194304.0,4096,1
332,224,271,6,0,32768,36864,0,8420,4096,36864,4194304.0,4096,1
332,224,271,6,0,28672,49152,0,10326,4096,32768,4194304.0,4096,1
332,224,258,9,0,34816,19968,0,7272,4096,40960,4194304.0,4096,1
332,224,258,9,0,25088,15872,0,4561,4096,32768,4194304.0,4096,1
332,224,258,9,0,109056,43520,0,57993,4096,114688,4194304.0,4096,1
332,224,271,6,0,237568,81920,0,174911,4096,241664,4194304.0,4096,1
332,224,271,6,0,143360,40960,0,88783,4096,147456,363331584.0,4096,1
332,224,258,9,0,26112,16384,0,5120,4096,32768,4194304.0,4096,1
332,224,258,9,0,32768,17920,0,9351,4096,36864,4194304.0,4096,1
332,224,258,9,0,32768,17920,0,6153,4096,36864,4194304.0,4096,1
332,224,258,9,0,25088,15872,0,4561,4096,32768,4194304.0,4096,1
332,224,258,9,0,131072,61952,0,80808,4096,135168,4194304.0,4096,1
332,224,258,9,0,147456,61440,0,96564,4096,151552,4194304.0,4096,1
332,224,258,9,0,143360,57344,0,70533,4096,147456,4194304.0,4096,1
332,224,259,9,0,111616,24576,0,20547,4096,118784,1627389952.0,4096,1
332,224,258,9,0,1243136,1643008,0,356455,4096,1249280,16777216.0,4096,1
332,224,258,9,0,540160,203264,0,188418,4096,544768,16777216.0,4096,1
332,224,258,9,0,564224,176128,0,213573,4096,569344,16777216.0,4096,1
332,224,258,9,0,520192,185344,0,191273,4096,524288,16777216.0,4096,1
332,224,258,9,0,511488,244224,0,188559,4096,516096,16777216.0,4096,1
332,224,258,9,0,12288,79872,0,10341,4096,16384,16777216.0,4096,1
332,224,258,9,0,12288,89088,0,10325,4096,16384,16777216.0,4096,1
